0,algemene programma's en kwalificaties
0,algemene programma's en kwalificaties
0,algemene programma's en kwalificaties
0,algemene programma's en kwalificaties algemene programma's en kwalificaties
1,algemene programma's en kwalificaties
1,algemene programma's en kwalificaties basisprogramma's en -kwalificaties
1,basisprogramma's en -kwalificaties
1,basisprogramma's en -kwalificaties
2,algemene programma's en kwalificaties
2,algemene programma's en kwalificaties geletterdheid en gecijferdheid
2,gecijferdheid
2,geletterdheid
2,geletterdheid en gecijferdheid
2,geletterdheid en gecijferdheid
3,algemene programma's en kwalificaties
3,algemene programma's en kwalificaties persoonlijke vaardigheden en ontwikkeling
3,argumentatie en presentatie
3,assertiviteitstraining
3,communicatievaardigheden
3,ontwikkeling van gedragscapaciteiten
3,ontwikkeling van mentale vaardigheden
3,ouderschapsscursus
3,persoonlijke vaardigheden en ontwikkeling
3,persoonlijke vaardigheden en ontwikkeling
3,samenwerking
3,sociale competentie
3,spreken in het openbaar
3,tijdsmanagement
3,time management
3,zelfvertrouwen
3,zoeken naar werk
9,algemene programma's en kwalificaties
9,algemene programma's en kwalificaties andere algemene programma's en kwalificaties
9,andere algemene programma's en kwalificaties
9,andere algemene programma's en kwalificaties
11,ander onderwijs
11,didactiek
11,leerplanstudies
11,leraarsassistent
11,lerarenopleiding commerciële onderwerpen
11,lerarenopleiding kunst en ambachten
11,lerarenopleiding lichamelijke opvoeding
11,lerarenopleiding met specialisatie
11,lerarenopleiding muziek
11,lerarenopleiding tweede taal
11,lerarenopleiding verpleegkunde
11,lerarenopleiding voor kinderen met speciale noden
11,lerarenopleiding zonder specialisatie
11,lezen en schrijven voor volwassenen
11,onderwijs
11,onderwijs
11,onderwijs
11,onderwijs onderwijs
11,onderwijsevaluatie
11,onderwijskunde
11,opleiding tot klastitularis
11,opleiding voor kleuterleiders
11,pedagogische wetenschappen
11,train the trainer
11,training van duikinstructeurs
11,training van trainers
18,interdisciplinaire programma's en kwalificaties m.b.t. onderwijs
18,interdisciplinaire programma's en kwalificaties m.b.t. onderwijs
18,onderwijs
